id,cenario,esperado,obtido,bate,d_base,d_promo,uplift_%,canib_%,tipo_produto,tipo_evento,qualidade,flags
BOA-1,Chocolate Premium + Vinho no Dia dos Namor,BOA,BOA,True,8.24,15.66,90.0,21.0,puxador_presente,presente,🟢 BOA,cap_uplift_atingido
BOA-2,Gelo + Cerveja em sábado VERÃO,BOA,BOA,True,5.59,10.62,90.0,30.0,puxador_consumo,nenhum,🟢 BOA,cap_uplift_atingido
BOA-3,Sorvete liquidação (validade próxima),BOA,BOA,True,12.09,17.28,42.9,45.0,impulso,nenhum,🟢 BOA,canibalizacao_alta;estrategia_defensiva_vencimento
MED-1,Gelo + Destilados no Réveillon (consumo in,MÉDIA,BOA,False,5.59,8.6,53.9,30.0,puxador_consumo,consumo_intenso,🟢 BOA,
MED-2,Chocolate impulso desc10% segunda fraca,MÉDIA,RUIM,False,6.92,7.54,9.0,30.0,impulso,nenhum,🔴 RUIM,
MED-3,Vinho parado com desc10%,MÉDIA,MÉDIA,True,0.64,0.79,23.0,30.0,puxador_premium,nenhum,🟡 MÉDIA,
RUIM-1,Cerveja desc direto em SEX (alta natural),RUIM,RUIM,True,20.63,26.53,28.6,30.0,puxador_consumo,nenhum,🔴 RUIM,desc_direto_em_puxador_destrói_margem
RUIM-2,Isotônico desc5% dia comum (commodity),RUIM,RUIM,True,2.47,2.58,4.6,25.0,commodity,nenhum,🔴 RUIM,
RUIM-3,Combo ABSURDO café + cerveja,RUIM,RUIM,True,1.29,1.31,1.8,30.0,rotina,nenhum,🔴 RUIM,
RUIM-4,Destilados desc10% sem evento (puxador pre,RUIM,RUIM,True,0.53,0.56,5.0,30.0,puxador_premium,nenhum,🔴 RUIM,desc_direto_em_puxador_destrói_margem
CONTR-1,Chocolate Impulso em Dia das Crianças (dev,BOA,BOA,True,6.92,9.41,36.0,21.0,impulso,presente,🟢 BOA,
PROIB-1,Cigarro com desc (Lei 9.294/96),PROIBIDA,PROIBIDA,True,122.31,122.31,0.0,0.0,proibida,nenhum,🚫 PROIBIDA,proibida_por_lei
